hhid,paxid,person_type,person_type_id,age,age_id,student_type,student_type_id,gender,female_dummy,income,income_id,work_from_home_dummy,has_driving_license,has_fixed_work_location,fix_work_location_pcode_temp,fix_work_location_mtz,school_location_mtz
429042DO,5,Homemaker,5,80-84 yrs old,16,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
429042DO,6,Domestic worker,10,55-59 yrs old,11,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
429042EO,1,Homemaker,5,85 yrs & above,17,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
429042EO,2,Domestic worker,10,25-29 yrs old,5,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
429156AO,1,Self-employed,3,45-49 yrs old,9,not a full time student,11,Male,0,$2500-$2999,5,0,1,0,0,0,0
429156AO,2,Homemaker,5,40-44 yrs old,8,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
429156AO,3,Full time student,4,15-19 yrs old,3,Secondary,3,Male,0,No Income,12,0,0,0,0,0,502270
429156AO,4,Full time student,4,15-19 yrs old,3,Secondary,3,Female,1,No Income,12,0,0,0,0,0,525090
429156AO,5,Full time student,4,4-9 yrs old,1,Preschool,1,Male,0,No Income,12,0,0,0,0,0,502020
429156BO,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Male,0,$3000-$3999,6,0,1,1,179555,514110,0
429156BO,2,Full time student,4,4-9 yrs old,1,Preschool,1,Male,0,No Income,12,0,0,0,0,0,502030
429156BO,3,Self-employed,3,45-49 yrs old,9,not a full time student,11,Female,1,$1500-$1999,3,1,0,1,429156,525100,0
429156BO,4,Self-employed,3,65-69 yrs old,13,not a full time student,11,Female,1,$2000-$2499,4,1,0,1,429156,525100,0
429156BO,5,Domestic worker,10,25-29 yrs old,5,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
429156BO,6,Domestic worker,10,25-29 yrs old,5,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
429156CO,1,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Male,0,$7000-$7999,10,0,1,1,68897,514040,0
429156CO,2,Homemaker,5,40-44 yrs old,8,not a full time student,11,Female,1,No Income,12,0,1,0,0,0,0
429156CO,3,Full time student,4,10-14 yrs old,2,Secondary,3,Male,0,No Income,12,0,0,0,0,0,525090
429156CO,4,Full time student,4,10-14 yrs old,2,Primary,2,Female,1,No Income,12,0,0,0,0,0,525070
429156DO,1,Self-employed,3,50-54 yrs old,10,not a full time student,11,Male,0,$3000-$3999,6,0,1,1,415928,502052,0
429156DO,2,Self-employed,3,45-49 yrs old,9,not a full time student,11,Female,1,$3000-$3999,6,0,1,1,415928,502052,0
429156DO,3,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Male,0,$2500-$2999,5,0,1,1,109680,506280,0
429156DO,4,Full time student,4,20-24 yrs old,4,University,6,Female,1,No Income,12,0,0,0,0,0,540020
429156EO,1,Homemaker,5,80-84 yrs old,16,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
429156EO,2,Employed Part-time,2,55-59 yrs old,11,not a full time student,11,Female,1,$1-$1000,1,0,0,1,239519,531010,0
429156EO,3,Domestic worker,10,30-34 yrs old,6,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
429246BO,1,Employed Full-time,1,50-54 yrs old,10,not a full time student,11,Male,0,$4000-$4999,7,0,1,1,38983,514172,0
429246BO,2,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$2000-$2499,4,0,1,1,119963,538260,0
429246BO,3, ,11, ,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0
429246DO,1,Unemployed,7,55-59 yrs old,11,not a full time student,11,Male,0,No Income,12,0,1,0,0,0,0
429246DO,2,Employed Full-time,1,50-54 yrs old,10,not a full time student,11,Female,1,$2000-$2499,4,0,1,1,368206,552100,0
429246DO,3,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Female,1,$2500-$2999,5,0,1,1,49318,514010,0
429246DO,4,Full time student,4,15-19 yrs old,3,Polytechnic,5,Male,0,No Income,12,0,0,0,0,0,549230
429246DO,5,Domestic worker,10,55-59 yrs old,11,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
429246DO,6,Domestic worker,10,20-24 yrs old,4,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
429450BO,1,Homemaker,5,70-74 yrs old,14,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
429450BO,2,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Female,1,$2000-$2499,4,0,0,1,59443,532050,0
429450BO,3,Domestic worker,10,20-24 yrs old,4,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
429450CO,1,Retired,6,70-74 yrs old,14,not a full time student,11,Male,0,No Income,12,0,1,0,0,0,0
