hhid,paxid,person_type,person_type_id,age,age_id,student_type,student_type_id,gender,female_dummy,income,income_id,work_from_home_dummy,has_driving_license,has_fixed_work_location,fix_work_location_pcode_temp,fix_work_location_mtz,school_location_mtz
541191DO,2,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$1-$1000,1,0,0,1,486120,549470,0
541191DO,3, ,11, ,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0
541191DO,4,Employed Full-time,1,20-24 yrs old,4,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,507658,510020,0
541191EO,1,Employed Part-time,2,70-74 yrs old,14,not a full time student,11,Male,0,$1001-$1499,2,0,0,0,0,0,0
541191EO,2,Unemployed,7,75-79 yrs old,15,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
541191EO,3,Unemployed,7,45-49 yrs old,9,not a full time student,11,Male,0,No Income,12,0,0,0,0,0,0
541191EO,4,Employed Part-time,2,50-54 yrs old,10,not a full time student,11,Female,1,$1500-$1999,3,0,0,1,543296,543040,0
541191EO,5,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Male,0,$1500-$1999,3,0,0,1,508811,533050,0
541191EO,6,Employed Part-time,2,20-24 yrs old,4,not a full time student,11,Female,1,$1-$1000,1,0,0,1,545078,543160,0
541191EO,7,Employed Full-time,1,20-24 yrs old,4,not a full time student,11,Male,0,$1-$1000,1,0,0,1,534625,516030,0
541191EO,8,Unemployed,7,30-34 yrs old,6,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
541191EO,9,Full time student,4,4-9 yrs old,1,Preschool,1,Male,0,No Income,12,0,0,0,0,0,556090
541191EO,10, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0
541191EO,11, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0
541204AR7,1,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Male,0,$4000-$4999,7,0,1,1,545062,543160,0
541205AR1,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Male,0,$8000 and above,11,0,1,1,0,0,0
541205AR1,2,Homemaker,5,40-44 yrs old,8,not a full time student,11,Female,1,No Income,12,0,1,0,0,0,0
541205AR1,3,Full time student,4,10-14 yrs old,2,Secondary,3,Male,0,No Income,12,0,0,0,0,0,544010
541205AR1,4,Full time student,4,10-14 yrs old,2,Primary,2,Female,1,No Income,12,0,0,0,0,0,543151
541205AR1,5,Full time student,4,4-9 yrs old,1,Primary,2,Male,0,No Income,12,0,0,0,0,0,543151
541205AR1,6,Full time student,4,4-9 yrs old,1,Primary,2,Male,0,No Income,12,0,0,0,0,0,543151
541205BO,1,Retired,6,70-74 yrs old,14,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
541205BO,2,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Male,0,$2500-$2999,5,0,1,1,179033,546030,0
541205BO,3,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$5000-$5999,8,0,1,1,579827,503041,0
541205CR1,1,Employed Full-time,1,35-39 yrs old,7,not a full time student,11,Male,0,$8000 and above,11,0,0,1,99254,506120,0
541205CR1,2,Homemaker,5,30-34 yrs old,6,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
541205CR1,3,Full time student,4,4-9 yrs old,1,Preschool,1,Female,1,No Income,12,0,0,0,0,0,530101
541205CR1,4, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0
541205CR1,5,Domestic worker,10,35-39 yrs old,7,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
541205DO,1,Employed Full-time,1,30-34 yrs old,6,not a full time student,11,Male,0,$7000-$7999,10,0,1,1,39192,514171,0
541205DO,2,Employed Full-time,1,30-34 yrs old,6,not a full time student,11,Female,1,$6000-$6999,9,0,1,1,486150,549400,0
541205DO,3,Domestic worker,10,25-29 yrs old,5,not a full time student,11,Female,1,$1-$1000,1,0,0,0,0,0,0
541205DO,4, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0
541205DO,5, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0
541205EO,1,Employed Full-time,1,50-54 yrs old,10,not a full time student,11,Male,0,$2000-$2499,4,0,1,1,409215,515080,0
541205EO,2,Homemaker,5,50-54 yrs old,10,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
541205EO,3,Employed Full-time,1,20-24 yrs old,4,not a full time student,11,Female,1,$2000-$2499,4,0,0,1,168752,506030,0
541205EO,4,Unemployed,7,20-24 yrs old,4,not a full time student,11,Male,0,No Income,12,0,0,0,0,0,0
541206AR1,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Male,0,$2500-$2999,5,0,1,1,545072,543032,0
541206AR1,2,Employed Full-time,1,35-39 yrs old,7,not a full time student,11,Female,1,$2000-$2499,4,0,1,1,423950,502020,0
541206AR1,3,Full time student,4,10-14 yrs old,2,Primary,2,Female,1,No Income,12,0,0,0,0,0,516082
541206AR1,4,Full time student,4,4-9 yrs old,1,Primary,2,Female,1,No Income,12,0,0,0,0,0,516082
541206AR1,5,Full time student,4,4-9 yrs old,1,Preschool,1,Female,1,No Income,12,0,0,0,0,0,515170
541206BO,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Male,0,$3000-$3999,6,0,1,1,638585,553160,0
541206BO,2,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Female,1,$2500-$2999,5,0,0,1,509012,533150,0
541206BO,3,Full time student,4,10-14 yrs old,2,Primary,2,Female,1,No Income,12,0,0,0,0,0,543160
541206BO,4,Full time student,4,4-9 yrs old,1,Primary,2,Female,1,No Income,12,0,0,0,0,0,543160
541206BO,5,Full time student,4,4-9 yrs old,1,Preschool,1,Female,1,No Income,12,0,0,0,0,0,543180
541206CO,1,Employed Full-time,1,60-64 yrs old,12,not a full time student,11,Male,0,$1500-$1999,3,0,1,1,427989,502250,0
541206CO,2,Homemaker,5,55-59 yrs old,11,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
541206CO,3,Employed Full-time,1,30-34 yrs old,6,not a full time student,11,Male,0,$2000-$2499,4,0,1,1,819642,510051,0
541206CO,4,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,169608,506030,0
