hhid,paxid,person_type,person_type_id,age,age_id,student_type,student_type_id,gender,female_dummy,income,income_id,work_from_home_dummy,has_driving_license,has_fixed_work_location,fix_work_location_pcode_temp,fix_work_location_mtz,school_location_mtz
050004AR6,1,Employed Full-time,1,40-44 yrs old,8,not a full time student,11,Male,0,$1001-$1499,2,0,0,0,0,0,0
050004AR6,2,Retired,6,60-64 yrs old,12,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
050004DO,1,Retired,6,70-74 yrs old,14,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
050004DO,2,Self-employed,3,45-49 yrs old,9,not a full time student,11,Male,0,$1500-$1999,3,0,1,1,80008,532010,0
050004DO,3,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,168732,506100,0
050004DO,4,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$1-$1000,1,0,0,1,248674,539070,0
050004DO,5,Employed Part-time,2,40-44 yrs old,8,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,80008,532010,0
050004DO,6,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Female,1,$1001-$1499,2,0,0,1,80008,532010,0
050004ER2,1,Employed Full-time,1,60-64 yrs old,12,not a full time student,11,Male,0,$2000-$2499,4,0,1,1,187996,514132,0
050004ER2,2,Retired,6,55-59 yrs old,11,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
050005AO,1,Retired,6,60-64 yrs old,12,not a full time student,11,Female,1,$1001-$1499,2,0,0,0,0,0,0
050005AO,2,Retired,6,70-74 yrs old,14,not a full time student,11,Male,0,$1001-$1499,2,0,0,0,0,0,0
050005AR6,1,Employed Full-time,1,45-49 yrs old,9,not a full time student,11,Male,0,$1001-$1499,2,0,1,1,89053,506050,0
050005AR6,2,Homemaker,5,40-44 yrs old,8,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
050005AR6,3, ,11,0-3 yrs old,0,not a full time student,11, ,0, ,13,0,0,0,0,0,0
050005BO,1,Employed Part-time,2,55-59 yrs old,11,not a full time student,11,Male,0,$1-$1000,1,0,0,1,79519,532010,0
050005BR2,1,Employed Part-time,2,50-54 yrs old,10,not a full time student,11,Male,0,$1-$1000,1,0,0,0,0,0,0
050005CO,1,Employed Part-time,2,25-29 yrs old,5,not a full time student,11,Female,1,$1-$1000,1,0,0,1,179103,514120,0
050005CO,2,Full time student,4,4-9 yrs old,1,Preschool,1,Male,0,No Income,12,0,0,0,0,0,0
050005CR5,1,Retired,6,80-84 yrs old,16,not a full time student,11,Male,0,No Income,12,0,0,0,0,0,0
050005DO,1,Homemaker,5,65-69 yrs old,13,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
050005DO,2,Employed Full-time,1,25-29 yrs old,5,not a full time student,11,Male,0,$1500-$1999,3,0,1,1,408571,515162,0
050005DR2,1,Employed Part-time,2,50-54 yrs old,10,not a full time student,11,Female,1,$1-$1000,1,0,0,1,237994,546050,0
050005DR2,2,Full time student,4,15-19 yrs old,3,Post Secondary (JC/CI/ITE),4,Male,0,No Income,12,0,0,0,0,0,519040
050005EO,1,Employed Part-time,2,60-64 yrs old,12,not a full time student,11,Female,1,$1-$1000,1,0,0,1,80334,532050,0
050005EO,2,Unemployed,7,60-64 yrs old,12,not a full time student,11,Female,1,No Income,12,0,0,0,0,0,0
